Λ_TeV,sin2_MZ,RG_ok,λ_min,SPD_ok
3.0,0.23625,False,17030569.224247634,True
3.0,0.23625,False,17030569.224247634,True
3.0,0.23625,False,17030569.224247634,True
3.0,0.23625,False,17030569.224247634,True
3.0,0.23625,False,17030569.224247634,True
3.0,0.23625,False,17030569.224247634,True
3.0,0.23625,False,17030569.224247634,True
3.0,0.23625,False,17030569.224247634,True
3.0,0.23625,False,17030569.224247634,True
3.0,0.23625,False,17030569.224247634,True
3.0,0.23625,False,17030569.224247634,True
3.0,0.23625,False,17030569.224247634,True
3.0,0.23625,False,17030569.224247634,True
3.0,0.23625,False,17030569.224247634,True
3.0,0.23625,False,17030569.224247634,True
3.0,0.23650000000000002,False,17030569.224247634,True
3.0,0.23650000000000002,False,17030569.224247634,True
3.0,0.23650000000000002,False,17030569.224247634,True
3.0,0.23650000000000002,False,17030569.224247634,True
3.0,0.23650000000000002,False,17030569.224247634,True
3.0,0.23650000000000002,False,17030569.224247634,True
3.0,0.23650000000000002,False,17030569.224247634,True
3.0,0.23650000000000002,False,17030569.224247634,True
3.0,0.23650000000000002,False,17030569.224247634,True
3.0,0.23650000000000002,False,17030569.224247634,True
3.0,0.23650000000000002,False,17030569.224247634,True
3.0,0.23650000000000002,False,17030569.224247634,True
3.0,0.23650000000000002,False,17030569.224247634,True
3.0,0.23650000000000002,False,17030569.224247634,True
3.0,0.23650000000000002,False,17030569.224247634,True
3.0,0.23650000000000002,False,17030569.224247634,True
3.0,0.23650000000000002,False,17030569.224247634,True
3.0,0.23650000000000002,False,17030569.224247634,True
3.0,0.23650000000000002,False,17030569.224247634,True
3.0,0.23650000000000002,False,17030569.224247634,True
3.0,0.23675000000000004,False,17030569.224247634,True
3.0,0.23675000000000004,False,17030569.224247634,True
3.0,0.23675000000000004,False,17030569.224247634,True
3.0,0.23675000000000004,False,17030569.224247634,True
3.0,0.23675000000000004,False,17030569.224247634,True
3.0,0.23675000000000004,False,17030569.224247634,True
3.0,0.23675000000000004,False,17030569.224247634,True
3.0,0.23675000000000004,False,17030569.224247634,True
3.0,0.23675000000000004,False,17030569.224247634,True
3.0,0.23675000000000004,False,17030569.224247634,True
3.0,0.23675000000000004,False,17030569.224247634,True
3.0,0.23675000000000004,False,17030569.224247634,True
3.0,0.23675000000000004,False,17030569.224247634,True
3.0,0.23675000000000004,False,17030569.224247634,True
3.0,0.23675000000000004,False,17030569.224247634,True
3.0,0.23675000000000004,False,17030569.224247634,True
3.0,0.23675000000000004,False,17030569.224247634,True
3.0,0.23675000000000004,False,17030569.224247634,True
3.0,0.23675000000000004,False,17030569.224247634,True
3.0,0.23675000000000004,False,17030569.224247634,True
3.0,0.23700000000000002,False,17030569.224247634,True
3.0,0.23700000000000002,False,17030569.224247634,True
3.0,0.23700000000000002,False,17030569.224247634,True
3.0,0.23700000000000002,False,17030569.224247634,True
3.0,0.23700000000000002,False,17030569.224247634,True
